itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00318,plumbing,Instrumentation and Controls,Drainage/Sewage - BMS Interface Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission bms interface module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00425,plumbing,Instrumentation and Controls,Potable Water - Tank Level Control Panel,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission tank level control panel for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00426,plumbing,Instrumentation and Controls,Potable Water - Temperature Gauge,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission temperature gauge for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00427,plumbing,Instrumentation and Controls,Potable Water - Temperature Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission temperature sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00428,plumbing,Instrumentation and Controls,Potable Water - Thermometer,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission thermometer for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00429,plumbing,Instrumentation and Controls,Potable Water - Turbidity Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission turbidity sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00430,plumbing,Instrumentation and Controls,Potable Water - Ultrasonic Water Meter,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission ultrasonic water meter for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00431,plumbing,Instrumentation and Controls,Potable Water - Water Meter,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission water meter for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00432,plumbing,Instrumentation and Controls,Potable Water - Water Quality Analyzer,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission water quality analyzer for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00433,plumbing,Instrumentation and Controls,Potable Water - pH Sensor,"Subcategory: Potable Water | Supply, install, calibrate, connect and commission ph sensor for potable water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00434,plumbing,Instrumentation and Controls,Water Treatment - BMS Interface Module,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission bms interface module for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00435,plumbing,Instrumentation and Controls,Water Treatment - Compound Gauge,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission compound gauge for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00436,plumbing,Instrumentation and Controls,Water Treatment - Conductivity Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission conductivity sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00437,plumbing,Instrumentation and Controls,Water Treatment - Control Panel,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission control panel for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00438,plumbing,Instrumentation and Controls,Water Treatment - Data Logger,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission data logger for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00439,plumbing,Instrumentation and Controls,Water Treatment - Differential Pressure Switch,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission differential pressure switch for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00440,plumbing,Instrumentation and Controls,Water Treatment - Dosing Control Panel,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission dosing control panel for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00441,plumbing,Instrumentation and Controls,Water Treatment - Electromagnetic Flow Meter,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission electromagnetic flow meter for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00442,plumbing,Instrumentation and Controls,Water Treatment - Float Switch,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission float switch for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00443,plumbing,Instrumentation and Controls,Water Treatment - Flow Meter,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission flow meter for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00444,plumbing,Instrumentation and Controls,Water Treatment - Leak Detection Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission leak detection sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00445,plumbing,Instrumentation and Controls,Water Treatment - Level Gauge,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission level gauge for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00446,plumbing,Instrumentation and Controls,Water Treatment - Level Switch,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission level switch for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00447,plumbing,Instrumentation and Controls,Water Treatment - Pressure Gauge,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission pressure gauge for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00448,plumbing,Instrumentation and Controls,Water Treatment - Pressure Switch,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission pressure switch for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00449,plumbing,Instrumentation and Controls,Water Treatment - Pulse Output Module,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission pulse output module for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00450,plumbing,Instrumentation and Controls,Water Treatment - Pump Control Panel,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission pump control panel for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00451,plumbing,Instrumentation and Controls,Water Treatment - Remote Metering Module,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission remote metering module for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00452,plumbing,Instrumentation and Controls,Water Treatment - Residual Chlorine Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission residual chlorine sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00453,plumbing,Instrumentation and Controls,Water Treatment - Sight Glass,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission sight glass for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00454,plumbing,Instrumentation and Controls,Water Treatment - Tank Level Control Panel,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission tank level control panel for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00455,plumbing,Instrumentation and Controls,Water Treatment - Temperature Gauge,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission temperature gauge for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00456,plumbing,Instrumentation and Controls,Water Treatment - Temperature Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission temperature sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00457,plumbing,Instrumentation and Controls,Water Treatment - Thermometer,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission thermometer for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00458,plumbing,Instrumentation and Controls,Water Treatment - Turbidity Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission turbidity sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00459,plumbing,Instrumentation and Controls,Water Treatment - Ultrasonic Water Meter,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission ultrasonic water meter for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00460,plumbing,Instrumentation and Controls,Water Treatment - Water Meter,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission water meter for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00461,plumbing,Instrumentation and Controls,Water Treatment - Water Quality Analyzer,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission water quality analyzer for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00462,plumbing,Instrumentation and Controls,Water Treatment - pH Sensor,"Subcategory: Water Treatment | Supply, install, calibrate, connect and commission ph sensor for water treatment service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
