itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10712,plumbing,Plumbing Equipment,Air Receiver - Custom/Packaged,"Subcategory: Pressure Equipment | Supply, install, connect, test and commission custom/packaged air receiver, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10811,plumbing,Plumbing Equipment,Transfer Pump Set - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set transfer pump set, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10812,plumbing,Plumbing Equipment,Vacuum Pump - Duty/Assist/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/assist/standby vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10813,plumbing,Plumbing Equipment,Vacuum Pump - Duty/Standby,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission duty/standby vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10814,plumbing,Plumbing Equipment,Vacuum Pump - Single Pump,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission single pump vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10815,plumbing,Plumbing Equipment,Vacuum Pump - Variable-Speed Packaged Set,"Subcategory: Pumps and Pump Sets | Supply, install, connect, test and commission variable-speed packaged set vacuum pump, complete with base frame, isolation valves, check valves, flexible connections, controls, sensors and vibration isolation. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Flow: ___ | Head: ___ | Motor Power: ___ | Electrical Supply: ___ | Efficiency: ___ | Materials: ___ | Control Philosophy: ___",,set,,,,,,,
PLUMB-10816,plumbing,Plumbing Equipment,Grease Separator Package - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged grease separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10817,plumbing,Plumbing Equipment,Grease Separator Package - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity grease separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10818,plumbing,Plumbing Equipment,Grease Separator Package - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity grease separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10819,plumbing,Plumbing Equipment,Grease Separator Package - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity grease separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10820,plumbing,Plumbing Equipment,Greywater Treatment Plant - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged greywater treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10821,plumbing,Plumbing Equipment,Greywater Treatment Plant - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity greywater treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10822,plumbing,Plumbing Equipment,Greywater Treatment Plant - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity greywater treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10823,plumbing,Plumbing Equipment,Greywater Treatment Plant - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity greywater treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10824,plumbing,Plumbing Equipment,Oil-Water Separator Package - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged oil-water separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10825,plumbing,Plumbing Equipment,Oil-Water Separator Package - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity oil-water separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10826,plumbing,Plumbing Equipment,Oil-Water Separator Package - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity oil-water separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10827,plumbing,Plumbing Equipment,Oil-Water Separator Package - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity oil-water separator package, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10828,plumbing,Plumbing Equipment,Packaged Sewage Treatment Plant - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged packaged sewage treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10829,plumbing,Plumbing Equipment,Packaged Sewage Treatment Plant - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity packaged sewage treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10830,plumbing,Plumbing Equipment,Packaged Sewage Treatment Plant - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity packaged sewage treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10831,plumbing,Plumbing Equipment,Packaged Sewage Treatment Plant - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity packaged sewage treatment plant, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10832,plumbing,Plumbing Equipment,Packaged Sump Pump Station - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged packaged sump pump station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10833,plumbing,Plumbing Equipment,Packaged Sump Pump Station - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity packaged sump pump station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10834,plumbing,Plumbing Equipment,Packaged Sump Pump Station - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity packaged sump pump station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10835,plumbing,Plumbing Equipment,Packaged Sump Pump Station - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity packaged sump pump station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10836,plumbing,Plumbing Equipment,Sewage Lifting Station - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged sewage lifting station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10837,plumbing,Plumbing Equipment,Sewage Lifting Station - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity sewage lifting station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10838,plumbing,Plumbing Equipment,Sewage Lifting Station - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity sewage lifting station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10839,plumbing,Plumbing Equipment,Sewage Lifting Station - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity sewage lifting station, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10840,plumbing,Plumbing Equipment,Vacuum Drainage Collection Unit - Custom/Packaged,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission custom/packaged vacuum drainage collection unit, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10841,plumbing,Plumbing Equipment,Vacuum Drainage Collection Unit - Large Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission large capacity vacuum drainage collection unit, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10842,plumbing,Plumbing Equipment,Vacuum Drainage Collection Unit - Medium Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission medium capacity vacuum drainage collection unit, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10843,plumbing,Plumbing Equipment,Vacuum Drainage Collection Unit - Small Capacity,"Subcategory: Wastewater Equipment | Supply, install, connect, test and commission small capacity vacuum drainage collection unit, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10844,plumbing,Plumbing Equipment,Calorifier - Custom/Packaged,"Subcategory: Water Heaters | Supply, install, connect, test and commission custom/packaged calorifier, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10845,plumbing,Plumbing Equipment,Calorifier - Large Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission large capacity calorifier, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10846,plumbing,Plumbing Equipment,Calorifier - Medium Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission medium capacity calorifier, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10847,plumbing,Plumbing Equipment,Calorifier - Small Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission small capacity calorifier, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10848,plumbing,Plumbing Equipment,Commercial Electric Water Heater - Custom/Packaged,"Subcategory: Water Heaters | Supply, install, connect, test and commission custom/packaged commercial electric water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10849,plumbing,Plumbing Equipment,Commercial Electric Water Heater - Large Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission large capacity commercial electric water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10850,plumbing,Plumbing Equipment,Commercial Electric Water Heater - Medium Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission medium capacity commercial electric water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10851,plumbing,Plumbing Equipment,Commercial Electric Water Heater - Small Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission small capacity commercial electric water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10852,plumbing,Plumbing Equipment,Electric Instantaneous Water Heater - Custom/Packaged,"Subcategory: Water Heaters | Supply, install, connect, test and commission custom/packaged electric instantaneous water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10853,plumbing,Plumbing Equipment,Electric Instantaneous Water Heater - Large Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission large capacity electric instantaneous water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10854,plumbing,Plumbing Equipment,Electric Instantaneous Water Heater - Medium Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission medium capacity electric instantaneous water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10855,plumbing,Plumbing Equipment,Electric Instantaneous Water Heater - Small Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission small capacity electric instantaneous water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10856,plumbing,Plumbing Equipment,Electric Storage Water Heater - Custom/Packaged,"Subcategory: Water Heaters | Supply, install, connect, test and commission custom/packaged electric storage water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10857,plumbing,Plumbing Equipment,Electric Storage Water Heater - Large Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission large capacity electric storage water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10858,plumbing,Plumbing Equipment,Electric Storage Water Heater - Medium Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission medium capacity electric storage water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10859,plumbing,Plumbing Equipment,Electric Storage Water Heater - Small Capacity,"Subcategory: Water Heaters | Supply, install, connect, test and commission small capacity electric storage water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
PLUMB-10860,plumbing,Plumbing Equipment,Gas Instantaneous Water Heater - Custom/Packaged,"Subcategory: Water Heaters | Supply, install, connect, test and commission custom/packaged gas instantaneous water heater, complete with controls, valves, instrumentation, supports, access provisions and all accessories. | Code Ref: 22 30 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity: ___ | Duty/Performance: ___ | Materials: ___ | Dimensions: ___ | Electrical Supply: ___ | Controls: ___ | Standard/Approval: ___",,set,,,,,,,
