itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00062,plumbing,Drainage Specialties,Air Admittance Valve - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00166,plumbing,Drainage Specialties,Trench Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty trench drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00167,plumbing,Drainage Specialties,Trench Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty trench drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00168,plumbing,Drainage Specialties,Trench Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty trench drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00169,plumbing,Drainage Specialties,Trench Drain - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty trench drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00170,plumbing,Drainage Specialties,Two-Way Cleanout - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty two-way cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00171,plumbing,Drainage Specialties,Two-Way Cleanout - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty two-way cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00172,plumbing,Drainage Specialties,Two-Way Cleanout - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty two-way cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00173,plumbing,Drainage Specialties,Two-Way Cleanout - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty two-way cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00174,plumbing,Drainage Specialties,Vent Cowl - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty vent cowl, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00175,plumbing,Drainage Specialties,Vent Cowl - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty vent cowl, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00176,plumbing,Drainage Specialties,Vent Cowl - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty vent cowl, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00177,plumbing,Drainage Specialties,Vent Cowl - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty vent cowl, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00178,plumbing,Drainage Specialties,Wall Cleanout - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty wall cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00179,plumbing,Drainage Specialties,Wall Cleanout - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty wall cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00180,plumbing,Drainage Specialties,Wall Cleanout - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty wall cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00181,plumbing,Drainage Specialties,Wall Cleanout - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty wall cleanout, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00182,plumbing,Drainage Specialties,Yard Gully - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty yard gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00183,plumbing,Drainage Specialties,Yard Gully - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty yard gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00184,plumbing,Drainage Specialties,Yard Gully - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty yard gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00185,plumbing,Drainage Specialties,Yard Gully - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty yard gully, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
