itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00186,plumbing,Fixture Fittings and Accessories,Angle Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00298,plumbing,Fixture Fittings and Accessories,Shower Seat - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install shower seat with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00299,plumbing,Fixture Fittings and Accessories,Shower Seat - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install shower seat with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00300,plumbing,Fixture Fittings and Accessories,Shower Seat - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install shower seat with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00301,plumbing,Fixture Fittings and Accessories,Shower Seat - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install shower seat with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00302,plumbing,Fixture Fittings and Accessories,Soap Dispenser - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install soap dispenser with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00303,plumbing,Fixture Fittings and Accessories,Soap Dispenser - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install soap dispenser with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00304,plumbing,Fixture Fittings and Accessories,Soap Dispenser - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install soap dispenser with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00305,plumbing,Fixture Fittings and Accessories,Soap Dispenser - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install soap dispenser with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00306,plumbing,Fixture Fittings and Accessories,Thermostatic Mixing Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install thermostatic mixing valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00307,plumbing,Fixture Fittings and Accessories,Thermostatic Mixing Valve - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install thermostatic mixing valve with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00308,plumbing,Fixture Fittings and Accessories,Thermostatic Mixing Valve - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install thermostatic mixing valve with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00309,plumbing,Fixture Fittings and Accessories,Thermostatic Mixing Valve - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install thermostatic mixing valve with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00310,plumbing,Fixture Fittings and Accessories,Toilet Paper Holder - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install toilet paper holder with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00311,plumbing,Fixture Fittings and Accessories,Toilet Paper Holder - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install toilet paper holder with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00312,plumbing,Fixture Fittings and Accessories,Toilet Paper Holder - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install toilet paper holder with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00313,plumbing,Fixture Fittings and Accessories,Toilet Paper Holder - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install toilet paper holder with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00314,plumbing,Fixture Fittings and Accessories,Wall-Mounted Sink Mixer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install wall-mounted sink mixer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00315,plumbing,Fixture Fittings and Accessories,Wall-Mounted Sink Mixer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install wall-mounted sink mixer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00316,plumbing,Fixture Fittings and Accessories,Wall-Mounted Sink Mixer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install wall-mounted sink mixer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00317,plumbing,Fixture Fittings and Accessories,Wall-Mounted Sink Mixer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install wall-mounted sink mixer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
