itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-AD-0001,hvac,Air Distribution – Diffusers,Supply Air Diffuser,"Provide and install supply air diffuser complete with frame, removable core and required fixing accessories. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Type: ___ | Neck Size: ___ | Airflow: ___ | Throw: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0164,hvac,Air Distribution – Plenums and Accessories,Air Terminal Access Panel,"Provide and install access panel for concealed damper, plenum or terminal maintenance. | MasterFormat: 23 05 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Opening Size: ___ | Wall/Ceiling Type: ___ | Fire Rating: ___ | Lock Type: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0165,hvac,Air Distribution – Specialist Applications,Kitchen Make-Up Air Plenum,Provide and install make-up air plenum serving commercial kitchen hood or ceiling distribution system. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Size: ___ | Airflow: ___ | Distribution Pattern: ___ | Material: ___ | Insulation: ___,,no.,,,,,,,
HVAC-AD-0166,hvac,Air Distribution – Specialist Applications,Kitchen Hood Supply Air Diffuser,Provide and install supply air diffuser integrated with commercial kitchen hood. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Length/Size: ___ | Airflow: ___ | Discharge Velocity: ___ | Material: ___ | Listing: ___,,no.,,,,,,,
HVAC-AD-0167,hvac,Air Distribution – Specialist Applications,Kitchen Hood Exhaust Collar,Provide and install exhaust connection collar or transition at kitchen hood. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Collar Size: ___ | Airflow: ___ | Material: ___ | Gauge: ___ | Joint Type: ___,,no.,,,,,,,
HVAC-AD-0168,hvac,Air Distribution – Specialist Applications,Car Park Jet Fan Nozzle,Provide and install directional nozzle or outlet accessory for car-park impulse ventilation fan. | MasterFormat: 23 34 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Airflow: ___ | Throw: ___ | Direction: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0169,hvac,Air Distribution – Specialist Applications,Data Centre Floor Grille,Provide and install high-capacity load-rated floor grille for data-centre cooling air delivery. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Panel Size: ___ | Airflow: ___ | Load Rating: ___ | Damper: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0170,hvac,Air Distribution – Specialist Applications,Data Centre Directional Floor Grille,Provide and install directional raised-floor grille with adjustable airflow pattern. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Panel Size: ___ | Airflow: ___ | Directional Range: ___ | Load Rating: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0171,hvac,Air Distribution – Specialist Applications,Data Centre Floor Tile Fan Unit,Provide and install fan-assisted raised-floor air terminal complete with controls. | MasterFormat: 23 36 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Panel Size: ___ | Airflow Range: ___ | Fan Quantity: ___ | Power: ___ | Control: ___,,no.,,,,,,,
HVAC-AD-0172,hvac,Air Distribution – Specialist Applications,Cold-Aisle Containment Return Grille,Provide and install return grille serving data-centre containment arrangement. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Free Area: ___ | Mounting: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0173,hvac,Air Distribution – Specialist Applications,MRI Room Non-Ferrous Diffuser,Provide and install non-ferrous diffuser suitable for MRI room application. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Material: ___ | Magnetic Compatibility: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0174,hvac,Air Distribution – Specialist Applications,MRI Room Non-Ferrous Grille,Provide and install non-ferrous return or exhaust grille suitable for MRI room application. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Material: ___ | Magnetic Compatibility: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0175,hvac,Air Distribution – Specialist Applications,Swimming Pool Supply Air Grille,Provide and install corrosion-resistant supply grille for natatorium environment. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Material: ___ | Corrosion Class: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0176,hvac,Air Distribution – Specialist Applications,Swimming Pool Linear Slot Diffuser,Provide and install corrosion-resistant linear slot diffuser for perimeter pool ventilation. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slots: ___ | Length: ___ | Airflow/LM: ___ | Material: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0177,hvac,Air Distribution – Specialist Applications,Laboratory Exhaust Grille,Provide and install corrosion-resistant exhaust grille for laboratory service. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Airflow: ___ | Material: ___ | Chemical Resistance: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0178,hvac,Air Distribution – Specialist Applications,Fume Extract Snorkel Outlet,Provide and install local-exhaust snorkel outlet or capture nozzle complete with adjustable arm interface. | MasterFormat: 23 35 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Airflow: ___ | Capture Velocity: ___ | Material: ___ | Connection: ___,,no.,,,,,,,
HVAC-AD-0179,hvac,Air Distribution – Specialist Applications,Welding Extract Capture Hood,Provide and install local welding-fume capture hood or inlet. | MasterFormat: 23 35 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Hood Size: ___ | Airflow: ___ | Capture Velocity: ___ | Material: ___ | Mounting: ___,,no.,,,,,,,
HVAC-AD-0180,hvac,Air Distribution – Specialist Applications,Vehicle Exhaust Extraction Nozzle,Provide and install vehicle-exhaust extraction nozzle complete with hose connection interface. | MasterFormat: 23 35 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Nozzle Size: ___ | Airflow: ___ | Temperature Rating: ___ | Connection: ___ | Material: ___,,no.,,,,,,,
HVAC-AD-0181,hvac,Air Distribution – Specialist Applications,Aircraft Hangar High-Throw Diffuser,Provide and install high-throw diffuser for aircraft hangar or large-volume space. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Airflow: ___ | Throw: ___ | Mounting Height: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0182,hvac,Air Distribution – Specialist Applications,Warehouse High-Throw Diffuser,Provide and install high-throw diffuser for warehouse or industrial high-bay space. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Outlet Size: ___ | Airflow: ___ | Throw: ___ | Mounting Height: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0183,hvac,Air Distribution – Specialist Applications,Fabric Air Dispersion Outlet,Provide and install engineered fabric air-dispersion outlet section with designed perforation pattern. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter/Shape: ___ | Airflow/LM: ___ | Perforation Pattern: ___ | Fabric Class: ___ | Color: ___,,LM,,,,,,,
HVAC-AD-0184,hvac,Air Distribution – Specialist Applications,Textile Duct Nozzle Outlet,Provide and install nozzle outlet integrated into textile air-dispersion duct. | MasterFormat: 23 31 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Nozzle Size: ___ | Airflow: ___ | Throw: ___ | Spacing: ___ | Material: ___,,no.,,,,,,,
