itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0386,hvac,HVAC Insulation,Pipe Insulation - Phenolic Foam,"Supply and install pipe insulation - phenolic foam, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0387,hvac,HVAC Insulation,Pipe Insulation - Cellular Glass,"Supply and install pipe insulation - cellular glass, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0388,hvac,HVAC Insulation,Pipe Insulation Aluminum Cladding,"Supply and install pipe insulation aluminum cladding, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0389,hvac,HVAC Insulation,Pipe Insulation Stainless Steel Cladding,"Supply and install pipe insulation stainless steel cladding, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0390,hvac,HVAC Insulation,Pipe Insulation Pvc Cladding,"Supply and install pipe insulation PVC cladding, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0391,hvac,HVAC Insulation,Duct Internal Acoustic Lining,"Supply and install duct internal acoustic lining, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0392,hvac,HVAC Insulation,Duct External Thermal Insulation - Glass Wool,"Supply and install duct external thermal insulation - glass wool, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0393,hvac,HVAC Insulation,Duct External Thermal Insulation - Mineral Wool,"Supply and install duct external thermal insulation - mineral wool, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0394,hvac,HVAC Insulation,Duct External Thermal Insulation - Elastomeric Foam,"Supply and install duct external thermal insulation - elastomeric foam, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0395,hvac,HVAC Insulation,Duct Insulation Aluminum Foil Vapor Barrier,"Supply and install duct insulation aluminum foil vapor barrier, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0396,hvac,HVAC Insulation,Duct Insulation Aluminum Cladding,"Supply and install duct insulation aluminum cladding, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0397,hvac,HVAC Insulation,Equipment Insulation,"Supply and install equipment insulation, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0398,hvac,HVAC Insulation,Removable Insulation Jacket,"Supply and install removable insulation jacket, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,no.,,,,,,,
HVAC-0399,hvac,HVAC Insulation,Insulated Valve Box,"Supply and install insulated valve box, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,no.,,,,,,,
HVAC-0400,hvac,HVAC Insulation,Fire-Resistant Duct Wrap,"Supply and install fire-resistant duct wrap, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 13 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0401,hvac,HVAC Insulation,Acoustic Barrier Wrap,"Supply and install acoustic barrier wrap, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0402,hvac,HVAC Insulation,Insulation Protection Coating,"Supply and install insulation protection coating, complete with vapor barrier, adhesives, fasteners, sealing and finish as applicable. | MasterFormat: 23 07 16 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Thickness: ___ | Density: ___ | Thermal Conductivity: ___ | Fire Rating: ___ | Facing/Cladding: ___ | Standard: ___",,m²,,,,,,,
HVAC-0403,hvac,HVAC Ductwork,Galvanized Steel Rectangular Duct,"Supply, fabricate, install, seal, support, test and commission galvanized steel rectangular duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0404,hvac,HVAC Ductwork,Galvanized Steel Circular Duct,"Supply, fabricate, install, seal, support, test and commission galvanized steel circular duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0405,hvac,HVAC Ductwork,Spiral Galvanized Steel Duct,"Supply, fabricate, install, seal, support, test and commission spiral galvanized steel duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0406,hvac,HVAC Ductwork,Stainless Steel Duct,"Supply, fabricate, install, seal, support, test and commission stainless steel duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0407,hvac,HVAC Ductwork,Aluminum Duct,"Supply, fabricate, install, seal, support, test and commission aluminum duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0408,hvac,HVAC Ductwork,Black Steel Smoke Extract Duct,"Supply, fabricate, install, seal, support, test and commission black steel smoke extract duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0409,hvac,HVAC Ductwork,Fire-Rated Duct System,"Supply, fabricate, install, seal, support, test and commission fire-rated duct system, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0410,hvac,HVAC Ductwork,Pre-Insulated Pir Duct Panel,"Supply, fabricate, install, seal, support, test and commission pre-insulated PIR duct panel, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0411,hvac,HVAC Ductwork,Fabric Air Dispersion Duct,"Supply, fabricate, install, seal, support, test and commission fabric air dispersion duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0412,hvac,HVAC Ductwork,Flexible Insulated Duct,"Supply, fabricate, install, seal, support, test and commission flexible insulated duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0413,hvac,HVAC Ductwork,Flexible Uninsulated Duct,"Supply, fabricate, install, seal, support, test and commission flexible uninsulated duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0414,hvac,HVAC Ductwork,Kitchen Exhaust Grease Duct,"Supply, fabricate, install, seal, support, test and commission kitchen exhaust grease duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0415,hvac,HVAC Ductwork,Laboratory Exhaust Duct,"Supply, fabricate, install, seal, support, test and commission laboratory exhaust duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,m²,,,,,,,
HVAC-0416,hvac,HVAC Ductwork,Underground Hdpe Air Duct,"Supply, fabricate, install, seal, support, test and commission underground HDPE air duct, including standard fittings unless measured separately. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts | Spec: Size: ___ | Material Grade: ___ | Thickness/Gauge: ___ | Pressure Class: ___ | Leakage Class: ___ | Fire Rating: ___ | Standard: ___",,LM,,,,,,,
HVAC-0417,hvac,HVAC Ductwork Accessories,Duct Elbow,"Supply and install duct elbow, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0418,hvac,HVAC Ductwork Accessories,Duct Tee,"Supply and install duct tee, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0419,hvac,HVAC Ductwork Accessories,Duct Reducer,"Supply and install duct reducer, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0420,hvac,HVAC Ductwork Accessories,Duct Offset,"Supply and install duct offset, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0421,hvac,HVAC Ductwork Accessories,Duct Transition,"Supply and install duct transition, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0422,hvac,HVAC Ductwork Accessories,Duct Branch Take-Off,"Supply and install duct branch take-off, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0423,hvac,HVAC Ductwork Accessories,Duct End Cap,"Supply and install duct end cap, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0424,hvac,HVAC Ductwork Accessories,Duct Access Door,"Supply and install duct access door, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0425,hvac,HVAC Ductwork Accessories,Duct Test Hole,"Supply and install duct test hole, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0426,hvac,HVAC Ductwork Accessories,Duct Turning Vanes,"Supply and install duct turning vanes, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0427,hvac,HVAC Ductwork Accessories,Duct Splitter Damper,"Supply and install duct splitter damper, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0428,hvac,HVAC Ductwork Accessories,Duct Reinforcement,"Supply and install duct reinforcement, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0429,hvac,HVAC Ductwork Accessories,Duct Flange System,"Supply and install duct flange system, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0430,hvac,HVAC Ductwork Accessories,Duct Gasket,"Supply and install duct gasket, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0431,hvac,HVAC Ductwork Accessories,Duct Sealant,"Supply and install duct sealant, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0432,hvac,HVAC Ductwork Accessories,Duct Support Hanger,"Supply and install duct support hanger, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0433,hvac,HVAC Ductwork Accessories,Duct Trapeze Support,"Supply and install duct trapeze support, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0434,hvac,HVAC Ductwork Accessories,Duct Roof Curb Penetration,"Supply and install duct roof curb penetration, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0435,hvac,HVAC Ductwork Accessories,Duct Wall Sleeve,"Supply and install duct wall sleeve, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0436,hvac,HVAC Ductwork Accessories,Duct Weatherproof Flashing,"Supply and install duct weatherproof flashing, complete with seals, supports and accessories. | MasterFormat: 23 31 00 | OmniClass: 23-33 31 00 Air Ducts / 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Gauge: ___ | Pressure Class: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0437,hvac,HVAC Dampers,Volume Control Damper - Manual,"Supply, install, connect, test and commission volume control damper - manual, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0438,hvac,HVAC Dampers,Opposed Blade Balancing Damper,"Supply, install, connect, test and commission opposed blade balancing damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0439,hvac,HVAC Dampers,Parallel Blade Balancing Damper,"Supply, install, connect, test and commission parallel blade balancing damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0440,hvac,HVAC Dampers,Motorized Control Damper,"Supply, install, connect, test and commission motorized control damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0441,hvac,HVAC Dampers,Backdraft Damper,"Supply, install, connect, test and commission backdraft damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0442,hvac,HVAC Dampers,Gravity Relief Damper,"Supply, install, connect, test and commission gravity relief damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0443,hvac,HVAC Dampers,Pressure Relief Damper,"Supply, install, connect, test and commission pressure relief damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0444,hvac,HVAC Dampers,Fire Damper,"Supply, install, connect, test and commission fire damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0445,hvac,HVAC Dampers,Smoke Damper,"Supply, install, connect, test and commission smoke damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0446,hvac,HVAC Dampers,Combination Fire And Smoke Damper,"Supply, install, connect, test and commission combination fire and smoke damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0447,hvac,HVAC Dampers,Ceiling Radiation Damper,"Supply, install, connect, test and commission ceiling radiation damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0448,hvac,HVAC Dampers,Intumescent Fire Damper,"Supply, install, connect, test and commission intumescent fire damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0449,hvac,HVAC Dampers,Blast Damper,"Supply, install, connect, test and commission blast damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0450,hvac,HVAC Dampers,Gas-Tight Shutoff Damper,"Supply, install, connect, test and commission gas-tight shutoff damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0451,hvac,HVAC Dampers,Low Leakage Isolation Damper,"Supply, install, connect, test and commission low leakage isolation damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0452,hvac,HVAC Dampers,Vav Terminal Inlet Damper,"Supply, install, connect, test and commission VAV terminal inlet damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0453,hvac,HVAC Dampers,Kitchen Exhaust Damper,"Supply, install, connect, test and commission kitchen exhaust damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0454,hvac,HVAC Dampers,Round Duct Damper,"Supply, install, connect, test and commission round duct damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0455,hvac,HVAC Dampers,Iris Balancing Damper,"Supply, install, connect, test and commission iris balancing damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
