itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-03514,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - 90 Degree Elbow - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for greywater distribution, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-04557,plumbing,Piping Systems,Irrigation Water - PPR - Reducing Tee - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR reducing tee for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04558,plumbing,Piping Systems,Irrigation Water - PPR - Reducing Tee - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR reducing tee for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04559,plumbing,Piping Systems,Irrigation Water - PPR - Reducing Tee - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR reducing tee for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04560,plumbing,Piping Systems,Irrigation Water - PPR - Straight Pipe - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,LM,,,,,,,
PLUMB-04561,plumbing,Piping Systems,Irrigation Water - PPR - Straight Pipe - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,LM,,,,,,,
PLUMB-04562,plumbing,Piping Systems,Irrigation Water - PPR - Straight Pipe - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,LM,,,,,,,
PLUMB-04563,plumbing,Piping Systems,Irrigation Water - PPR - Straight Pipe - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,LM,,,,,,,
PLUMB-04564,plumbing,Piping Systems,Irrigation Water - PPR - Straight Pipe - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR straight pipe for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,LM,,,,,,,
PLUMB-04565,plumbing,Piping Systems,Irrigation Water - PPR - Union - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR union for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04566,plumbing,Piping Systems,Irrigation Water - PPR - Union - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR union for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04567,plumbing,Piping Systems,Irrigation Water - PPR - Union - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR union for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04568,plumbing,Piping Systems,Irrigation Water - PPR - Union - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR union for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04569,plumbing,Piping Systems,Irrigation Water - PPR - Wall Flange - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR wall flange for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04570,plumbing,Piping Systems,Irrigation Water - PPR - Wall Flange - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR wall flange for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04571,plumbing,Piping Systems,Irrigation Water - PPR - Wall Flange - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR wall flange for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04572,plumbing,Piping Systems,Irrigation Water - PPR - Wall Flange - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR wall flange for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04573,plumbing,Piping Systems,Irrigation Water - PPR - Wall Flange - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission PPR wall flange for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04574,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 45 Degree Elbow - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 45 degree elbow for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04575,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 45 Degree Elbow - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 45 degree elbow for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04576,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 45 Degree Elbow - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 45 degree elbow for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04577,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 45 Degree Elbow - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 45 degree elbow for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04578,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 45 Degree Elbow - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 45 degree elbow for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04579,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 90 Degree Elbow - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04580,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 90 Degree Elbow - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04581,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 90 Degree Elbow - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04582,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 90 Degree Elbow - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04583,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - 90 Degree Elbow - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04584,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Access Fitting - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04585,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Access Fitting - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04586,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Access Fitting - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04587,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Access Fitting - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04588,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Cleanout Fitting - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04589,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Cleanout Fitting - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04590,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Cleanout Fitting - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04591,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Cleanout Fitting - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04592,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Concentric Reducer - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04593,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Concentric Reducer - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04594,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Concentric Reducer - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04595,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Concentric Reducer - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04596,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Concentric Reducer - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure concentric reducer for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04597,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Coupling - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04598,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Coupling - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04599,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Coupling - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04600,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Coupling - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04601,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Coupling - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure coupling for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04602,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Dismantling Joint - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04603,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Dismantling Joint - 15-25 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for irrigation water, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04604,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Dismantling Joint - 250-400 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for irrigation water, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04605,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Dismantling Joint - 32-50 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for irrigation water, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04606,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Dismantling Joint - 65-100 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure dismantling joint for irrigation water, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
PLUMB-04607,plumbing,Piping Systems,Irrigation Water - uPVC Pressure - Eccentric Reducer - 125-200 mm,"Subcategory: Irrigation Water | Supply, install, joint, support, identify, test and commission uPVC Pressure eccentric reducer for irrigation water, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 32 84 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | UV Resistance: ___ | Joint Type: ___",,no.,,,,,,,
